Date,JD.L,LLOY.L,SNN.L,WJG.L
2015-07-08,,67.86605072021484,238.66615295410156,
2015-07-09,,68.87995910644531,237.51536560058594,
2015-07-10,,69.51468658447266,231.07118225097656,
2015-07-13,,70.31427764892578,233.83297729492188,
2015-07-14,,70.60279083251953,231.07118225097656,
2015-07-15,,70.61103057861328,233.94805908203125,
2015-07-16,,71.31170654296875,234.75357055664062,
2015-07-17,,72.04534912109375,236.01939392089844,
2015-07-20,,72.20195770263672,237.40029907226562,
2015-07-21,,72.25141906738281,234.75357055664062,
2015-07-22,,71.85575103759766,234.75357055664062,
2015-07-23,,71.13036346435547,231.9917755126953,
2015-07-24,,70.36373138427734,235.6741943359375,
2015-07-27,,69.9186019897461,238.89630126953125,
2015-07-28,,70.18238067626953,235.55911254882812,
2015-07-29,,70.56156921386719,241.1977996826172,
