Date,AAL.L,ABF.L,ADM.L,AGK.L,ANTO.L,AV.L,AZN.L,BA.L,BAB.L,BARC.L,BLND.L,BNZL.L,BP.L,BRBY.L,CCH.L,CNA.L,CPG.L,CPI.L,CRDA.L,CRH.L,CUK.L,DGE.L,EVR.L,EXPN.L,FRES.L,GFS.L,GKN.L,GLEN.L,GSK.L,HL.L,HMSO.L,HSBA.L,IAG.L,IHG.L,IMI.L,ITRK.L,ITV.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,MGGT.L,MKS.L,MRO.L,MRW.L,NG.L,NXT.L,OML.L,PFC.L,PRU.L,RB.L,RBS.L,RDSA.L,REL.L,RIO.L,RR.L,RRS.L,RSA.L,SBRY.L,SDR.L,SGE.L,SMIN.L,SNN.L,SRP.L,SSE.L,STAN.L,SVT.L,TATE.L,TLW.L,TSCO.L,ULVR.L,UU.L,VED.L,VOD.L,WEIR.L,WPP.L,WTB.L
2017-10-05,1339.429931640625,3134.052978515625,,833.087158203125,921.468505859375,-687.3875732421875,4740.35009765625,558.8601684570312,738.0925903320312,177.78414916992188,-26.201711654663086,2186.19091796875,420.0256042480469,1700.0101318359375,2438.838134765625,141.05850219726562,1513.4617919921875,334.78192138671875,3811.746826171875,2653.5107421875,16637.0,2412.515380859375,-1174.2132568359375,1465.3712158203125,1370.34765625,255.19749450683594,,332.087158203125,1353.445068359375,1433.7034912109375,459.6506042480469,66.20858764648438,544.4237670898438,4105.18701171875,-625.7269287109375,4937.71728515625,157.2575225830078,3211.013427734375,-202.001708984375,869.9072875976562,231.7535858154297,60.608558654785156,489.1798400878906,308.2460021972656,204.71871948242188,220.135498046875,823.0093994140625,4819.9169921875,,-554.1728515625,1689.92578125,6439.6455078125,-2.0962202548980713,,1598.7418212890625,3263.591064453125,891.1530151367188,,574.6515502929688,219.3224334716797,3180.302734375,684.3281860351562,-1505.9447021484375,790.51123046875,117.69999694824219,1159.2899169921875,738.9287719726562,1952.155029296875,598.2362060546875,186.26751708984375,177.50863647460938,4109.50341796875,766.9049682617188,,181.08743286132812,1907.12255859375,1237.58740234375,3652.83642578125
2017-10-06,1346.24755859375,3116.90625,,826.5494384765625,922.3931884765625,-697.2014770507812,4789.6025390625,557.0427856445312,739.8775634765625,177.83090209960938,-26.136428833007812,2192.841552734375,418.0984802246094,1709.5234375,2449.404052734375,138.67437744140625,1528.5491943359375,335.6663513183594,3818.600341796875,2619.515380859375,16692.5,2421.11083984375,-1165.2633056640625,1483.628173828125,1359.843505859375,257.6706848144531,,329.03802490234375,1357.88720703125,1432.7432861328125,460.9454345703125,66.34884643554688,541.7787475585938,4154.9296875,-627.7584838867188,4966.677734375,156.37750244140625,3211.013427734375,-202.1990966796875,872.5784301757812,232.63882446289062,59.9781608581543,487.7742004394531,303.5452880859375,211.12814331054688,219.1911163330078,824.15185546875,4815.25537109375,,-544.3040161132812,1712.5208740234375,6467.080078125,-2.0839884281158447,,1609.2099609375,3293.77685546875,889.70166015625,,579.7615966796875,218.41986083984375,3204.361083984375,686.2081909179688,-1513.441650390625,794.820556640625,119.30000305175781,1151.7294921875,733.7076416015625,1937.7877197265625,600.95751953125,177.77420043945312,179.22093200683594,4080.17431640625,766.4606323242188,,180.9592742919922,1891.000732421875,1258.154296875,3655.675537109375
2017-10-09,1300.796875,3148.342041015625,,834.0211181640625,907.1355590820312,-697.7622680664062,4806.330078125,562.0405883789062,734.5225830078125,176.10121154785156,-26.005855560302734,2188.091064453125,416.5139465332031,1715.231201171875,2464.77294921875,137.3234100341797,1525.7203369140625,331.2452392578125,3809.787841796875,2594.01904296875,16657.0,2427.79638671875,-1152.0177001953125,1477.8626708984375,1363.6630859375,255.74710083007812,,324.7782287597656,1353.0009765625,1421.2196044921875,454.4714660644531,66.23487854003906,537.3704833984375,4177.26416015625,-628.2664184570312,4990.8115234375,156.5535125732422,3190.272705078125,-200.6857147216797,874.359375,232.1962127685547,59.933135986328125,486.83709716796875,303.3712158203125,211.41513061523438,219.37997436523438,828.2822265625,4773.302734375,,-544.68359375,1717.228271484375,6563.57568359375,-2.080930471420288,,1605.4033203125,3220.08837890625,889.70166015625,,577.9033813476562,215.170654296875,3190.481201171875,687.6182861328125,-1504.0704345703125,794.820556640625,117.9000015258789,1151.7294921875,731.7140502929688,1944.0732421875,601.8646240234375,174.25970458984375,177.2708282470703,4062.0166015625,763.350341796875,,180.44664001464844,1896.6907958984375,1253.683349609375,3644.31982421875
2017-10-10,1308.5234375,3127.384765625,,851.7661743164062,926.5543823242188,-697.6220703125,4802.61279296875,560.2232666015625,731.8450927734375,177.64390563964844,-26.15818977355957,2189.9912109375,419.64019775390625,1753.283935546875,2475.339111328125,139.94589233398438,1519.119384765625,335.6663513183594,3796.081298828125,2593.074462890625,16726.0,2440.689697265625,-1114.070556640625,1489.3935546875,1374.16748046875,256.6631164550781,,328.4103088378906,1346.338134765625,1433.7034912109375,458.3558349609375,66.91861724853516,536.0479736328125,4164.072265625,-630.8058471679688,4976.33154296875,155.1455078125,3138.421630859375,-202.1990966796875,881.9276123046875,232.55030822753906,60.42845153808594,487.3056335449219,305.54742431640625,211.12814331054688,221.26873779296875,827.8428344726562,4768.64111328125,,-549.491455078125,1719.111083984375,6707.37255859375,-2.121448040008545,,1606.35498046875,3204.995361328125,882.4447021484375,,576.5097045898438,216.07321166992188,3189.555908203125,676.338134765625,-1502.1962890625,787.1596069335938,117.80000305175781,1152.5693359375,728.3916015625,1943.17529296875,600.5040283203125,181.58154296875,178.22210693359375,4071.328125,766.9049682617188,,182.06997680664062,1900.484130859375,1251.0006103515625,3685.958251953125
2017-10-11,1310.7960205078125,3147.38916015625,,834.0211181640625,925.6296997070312,-691.8739013671875,4784.02685546875,558.8601684570312,733.630126953125,178.01788330078125,-26.33228874206543,2193.791748046875,418.5267028808594,1757.08935546875,2507.99755859375,139.5485382080078,1518.176513671875,320.9309997558594,3799.015869140625,2611.0166015625,16709.0,2443.55517578125,-1133.402099609375,1490.3546142578125,1378.9422607421875,255.38067626953125,,327.3341064453125,1347.670654296875,1436.58447265625,460.5137939453125,66.48033142089844,549.7136840820312,4161.0244140625,-632.32958984375,4976.33154296875,152.8574676513672,3185.558837890625,-201.08053588867188,884.153564453125,233.16995239257812,59.88810348510742,486.3684997558594,304.58984375,216.867919921875,220.60768127441406,828.7216796875,4708.04296875,,-544.3040161132812,1717.228271484375,6658.1787109375,-2.105393886566162,,1601.5968017578125,3168.595458984375,881.4771118164062,,571.399658203125,216.1634521484375,3178.4521484375,677.278076171875,-1508.756103515625,789.0748901367188,118.5,1154.249755859375,726.2081909179688,1930.6041259765625,593.7007446289062,181.67916870117188,178.07937622070312,4111.83154296875,764.239013671875,,183.6933135986328,1898.587646484375,1226.8570556640625,3811.820068359375
2017-10-12,1312.1595458984375,3179.777587890625,,821.4127197265625,939.5001831054688,-700.9867553710938,4789.6025390625,559.7688598632812,734.0763549804688,180.4955596923828,-26.52814483642578,2201.392578125,420.9249572753906,1803.7039794921875,2503.195068359375,145.2278594970703,1541.750732421875,327.4147644042969,3846.998046875,2597.796142578125,16780.0,2453.58349609375,-1143.06787109375,1502.8463134765625,1398.9959716796875,255.38067626953125,,329.979736328125,1356.998779296875,1474.9957275390625,461.37701416015625,66.14742279052734,552.3587036132812,4172.19189453125,-633.853271484375,5029.4248046875,153.6494903564453,3212.89892578125,-199.96192932128906,884.153564453125,234.2322540283203,59.70798873901367,489.1798400878906,304.67694091796875,215.0503387451172,223.25193786621094,825.6458740234375,4651.1728515625,,-535.9534912109375,1722.40625,6779.27099609375,-2.0962202548980713,,1615.8712158203125,3179.249267578125,890.669189453125,,572.7932739257812,216.61473083496094,3242.298828125,686.2081909179688,-1490.0137939453125,783.8080444335938,118.0,1182.8118896484375,720.0377197265625,1919.828369140625,600.5040283203125,179.72666931152344,177.5055694580078,4197.02880859375,759.7957763671875,,184.84674072265625,1888.15576171875,1229.53955078125,3835.47802734375
2017-10-13,1335.7939453125,3189.3037109375,,836.35595703125,938.5755004882812,-700.426025390625,4764.51220703125,557.4971313476562,736.7537841796875,178.8126220703125,-26.484621047973633,2170.0390625,420.3681945800781,1799.8988037109375,2497.431640625,141.65798950195312,1527.6063232421875,336.8445739746094,3876.3701171875,2598.74072265625,16772.5,2436.86962890625,-1151.6597900390625,1475.94091796875,1400.906005859375,257.6706848144531,,337.737060546875,1346.7821044921875,1474.9957275390625,461.37701416015625,65.43901062011719,547.9503784179688,4165.083984375,-627.2506103515625,5024.59814453125,151.88949584960938,3276.063232421875,-203.51504516601562,878.3660278320312,235.7371368408203,59.34775924682617,485.89990234375,305.3733215332031,211.79779052734375,221.8353729248047,818.8789672851562,4578.455078125,,-533.0433959960938,1720.9940185546875,6799.13818359375,-2.103865146636963,,1598.7418212890625,3274.68896484375,883.412353515625,,569.076904296875,218.14910888671875,3245.074951171875,682.4481811523438,-1501.2591552734375,781.8927612304688,117.0999984741211,1168.53076171875,708.2665405273438,1889.298095703125,600.5040283203125,185.48651123046875,177.88812255859375,4192.3740234375,751.3535766601562,,184.2486572265625,1903.329345703125,1232.2222900390625,3811.820068359375
2017-10-16,1342.6114501953125,3184.540771484375,,844.2945556640625,956.1449584960938,-693.9768676757812,4790.5322265625,554.7709350585938,739.8775634765625,176.94268798828125,-26.462858200073242,2107.33203125,420.96771240234375,1809.412109375,2506.07666015625,140.35987854003906,1511.575927734375,321.8154296875,3815.666259765625,2576.077392578125,16734.0,2427.31884765625,-1152.0177001953125,1483.628173828125,1370.34765625,254.9226531982422,,342.9385070800781,1349.4476318359375,1479.797119140625,462.2402038574219,65.87291717529297,545.7462158203125,4153.91748046875,-621.1558837890625,5019.77099609375,153.20947265625,3251.5517578125,-201.34371948242188,869.4620971679688,235.02894592285156,59.06857681274414,482.1513977050781,301.8042907714844,211.70211791992188,221.45761108398438,805.1695556640625,4605.49169921875,,-539.36962890625,1710.6380615234375,6641.15087890625,-2.0954556465148926,,1596.8387451171875,3300.87939453125,877.6068115234375,,569.076904296875,219.86398315429688,3249.70166015625,683.38818359375,-1489.07666015625,772.7953491210938,116.5999984741211,1157.60986328125,713.202880859375,1869.54296875,592.7935791015625,181.1910400390625,178.0315704345703,4192.3740234375,738.4680786132812,,184.5476837158203,1898.587646484375,1231.3280029296875,3813.712646484375
2017-10-17,1326.7037353515625,3175.014892578125,,836.35595703125,935.8013916015625,-693.6964721679688,4800.7548828125,555.225341796875,735.8612670898438,178.9061279296875,-26.44109535217285,2114.93310546875,420.1968994140625,1780.8724365234375,2490.7080078125,138.89947509765625,1506.8609619140625,320.34136962890625,3794.1220703125,2572.299560546875,16722.0,2424.453857421875,-1147.36376953125,1476.90185546875,1349.3389892578125,252.5410919189453,,337.064453125,1346.7821044921875,1471.154541015625,460.9454345703125,65.83749389648438,560.2935180664062,4164.072265625,-620.6480102539062,4947.37060546875,152.68145751953125,3180.845458984375,-201.34371948242188,878.3660278320312,234.05519104003906,59.735008239746094,478.4029235839844,302.7618103027344,210.3628387451172,221.9298095703125,812.903076171875,4585.91357421875,,-532.1577758789062,1714.40380859375,6655.34130859375,-2.090104341506958,,1600.645263671875,3293.3330078125,878.090576171875,,572.3287353515625,223.56446838378906,3210.83837890625,678.6881713867188,-1474.082763671875,768.00732421875,115.80000305175781,1159.2899169921875,712.728271484375,1905.4610595703125,585.5368041992188,178.26231384277344,177.9359588623047,4195.16748046875,748.2433471679688,,184.67584228515625,1888.15576171875,1252.7890625,3754.09375
2017-10-18,1298.06982421875,3205.498291015625,,829.3512573242188,917.7697143554688,-699.5847778320312,4810.046875,559.3145751953125,738.9850463867188,180.12158203125,-26.832815170288086,2132.985107421875,417.9700012207031,1807.50927734375,2542.57763671875,140.11647033691406,1526.663330078125,320.9309997558594,3807.828369140625,2571.355712890625,16742.5,2451.195556640625,-1167.05322265625,1494.1978759765625,1337.8795166015625,254.8311309814453,,335.9882507324219,1362.3289794921875,1478.8367919921875,468.2825927734375,66.26253509521484,575.2816772460938,4176.25146484375,-624.7111206054688,4990.8115234375,157.2575225830078,3192.158447265625,-203.18606567382812,890.38623046875,236.0027313232422,60.185298919677734,478.4029235839844,305.025146484375,211.41513061523438,221.8353729248047,821.4275512695312,4620.40771484375,,-527.9824829101562,1732.7623291015625,6486.947265625,-2.13444447517395,,1613.016357421875,3195.229736328125,899.861328125,,574.6515502929688,222.30087280273438,3241.37353515625,681.5081787109375,-1474.082763671875,754.6007080078125,117.5999984741211,1165.1705322265625,718.1390991210938,1912.6448974609375,591.4329223632812,178.1646728515625,178.9879608154297,4235.205078125,750.9093017578125,,185.231201171875,1910.916015625,1259.048583984375,3807.088134765625
2017-10-19,1300.796875,3200.73486328125,,829.8182373046875,913.1461181640625,-703.0897827148438,4809.1181640625,553.1378173828125,734.5225830078125,179.5138397216797,-26.57166862487793,2142.486083984375,421.5244140625,1800.8499755859375,2490.7080078125,139.5485382080078,1514.40478515625,325.322998046875,3794.1220703125,2593.074462890625,16690.0,2455.493408203125,-1132.68603515625,1500.92431640625,1354.1136474609375,252.17466735839844,,338.6338806152344,1364.5499267578125,1481.717529296875,464.8298034667969,65.78436279296875,573.9592895507812,4161.0244140625,-622.6795654296875,4985.984375,155.23348999023438,3201.585693359375,-199.50135803222656,879.7015380859375,235.7371368408203,60.329383850097656,472.7801513671875,301.8042907714844,211.8934326171875,221.8353729248047,821.5154418945312,4566.3349609375,,-523.8072509765625,1728.5257568359375,6423.5625,-2.141324520111084,,1614.919677734375,3196.5615234375,896.9586181640625,,581.6198120117188,222.39114379882812,3212.688720703125,684.7982177734375,-1468.0653076171875,745.982177734375,117.0,1169.3707275390625,710.7347412109375,1924.318115234375,581.9083251953125,177.77420043945312,179.17926025390625,4002.890380859375,749.5762939453125,,185.44480895996094,1919.451171875,1221.4915771484375,3765.44970703125
2017-10-20,1301.7059326171875,3167.39404296875,,835.4219970703125,924.7049560546875,-708.6976318359375,4797.037109375,549.9112548828125,733.630126953125,182.9732208251953,-26.57166862487793,2136.785400390625,421.3103332519531,1812.265869140625,2468.614990234375,140.44102478027344,1493.659423828125,323.1889953613281,3800.000244140625,2634.62451171875,16675.0,2452.15087890625,-1170.9912109375,1504.76806640625,1305.411376953125,256.84625244140625,,339.1719665527344,1353.445068359375,1474.9957275390625,456.6294250488281,66.28910064697266,579.6900634765625,4123.4619140625,-622.1716918945312,4957.0244140625,153.91346740722656,3238.35302734375,-199.63294982910156,868.1265869140625,237.77316284179688,60.33838653564453,475.12298583984375,301.97833251953125,214.8590087890625,222.11866760253906,813.6060791015625,4535.56982421875,,-526.0846557617188,1757.2403564453125,6253.27685546875,-2.1581432819366455,,1609.2099609375,3196.11767578125,895.9910278320312,,595.556396484375,223.56446838378906,3224.7177734375,686.2081909179688,-1485.2579345703125,741.194091796875,117.0,1164.330322265625,732.9481811523438,1920.7265625,573.7443237304688,179.14093017578125,180.66163635253906,3874.395751953125,748.2433471679688,,185.27392578125,1927.037841796875,1227.7510986328125,3740.84521484375
