Date,ADM.L,AGK.L,ASCL.L,AV.L,AZN.L,BA.L,BARC.L,BRBY.L,CUK.L,DGE.L,FUTR.L,GSK.L,IAG.L,IHG.L,ITRK.L,JD.L,JMAT.L,LAND.L,LGEN.L,LLOY.L,MKS.L,MRO.L,NXT.L,PFC.L,PPH.L,RDSA.L,SNN.L,STAN.L,TIFS.L,UU.L,VOD.L,WEIR.L,WJG.L,XPP.L
2017-08-02,,778.7723388671875,350.1522521972656,-741.562255859375,4117.8984375,536.5966186523438,193.26258850097656,1647.6873779296875,16316.0,2290.733154296875,251.8124542236328,1330.6964111328125,525.908935546875,4303.4521484375,4423.95166015625,,2627.449951171875,952.322509765625,235.68484497070312,58.15916061401367,283.0884094238281,219.2349395751953,3741.262451171875,-550.134521484375,796.1333618164062,1865.2613525390625,685.305908203125,754.6869506835938,,798.0077514648438,188.60601806640625,1686.4456787109375,-223.1667022705078,2554.87841796875
2017-08-03,,781.083251953125,349.9589538574219,-742.2513427734375,4174.63427734375,535.6879272460938,194.0069580078125,1681.9349365234375,16480.0,2310.48486328125,251.4180908203125,1340.3453369140625,535.607177734375,4334.7099609375,4456.61474609375,,2623.678955078125,965.4940185546875,237.95022583007812,59.00192642211914,286.5704345703125,219.13992309570312,4102.98876953125,-550.0106811523438,796.1333618164062,1879.951904296875,695.3069458007812,750.510009765625,,809.5602416992188,191.38279724121094,1697.7325439453125,-223.1667022705078,2516.801025390625
2017-08-04,,791.251220703125,348.9922180175781,-735.3595581054688,4149.01123046875,532.9617309570312,195.72837829589844,1701.91259765625,16554.0,2354.220703125,251.8124542236328,1345.6087646484375,544.4237670898438,4390.1494140625,4506.57080078125,,2652.904052734375,958.9039916992188,237.42742919921875,59.26805114746094,287.7020568847656,220.94549560546875,4095.531005859375,-598.1876220703125,796.1333618164062,1886.4332275390625,706.2603149414062,761.806640625,,812.22607421875,192.2371826171875,1703.3760986328125,-221.75067138671875,2507.514404296875
2017-08-07,,789.8646240234375,348.798828125,-739.49462890625,4145.80859375,529.326904296875,195.4027099609375,1720.9390869140625,16598.0,2372.56201171875,256.5495300292969,1339.0299072265625,547.9503784179688,4446.60400390625,4468.142578125,,2633.1064453125,960.7916259765625,239.69281005859375,58.99304962158203,285.87396240234375,224.2715606689453,4037.729736328125,-578.2481079101562,805.6111450195312,1898.9632568359375,708.6415405273438,762.0914306640625,,815.3363647460938,193.60418701171875,1690.2081298828125,-222.88351440429688,2495.441162109375
2017-08-08,,786.167236328125,349.4755554199219,-740.183837890625,4176.4638671875,522.9658813476562,195.72837829589844,1701.91259765625,16628.0,2383.37841796875,255.36549377441406,1345.6087646484375,551.0360717773438,4269.18603515625,4472.9462890625,,2648.1904296875,962.6708374023438,240.47695922851562,59.66725540161133,288.7466735839844,224.2715606689453,4072.223876953125,-578.9912109375,805.6111450195312,1912.7894287109375,714.3563842773438,763.2305297851562,,817.5579833984375,192.62164306640625,1687.3863525390625,-225.432373046875,2507.514404296875
2017-08-09,,784.7807006835938,352.279052734375,-724.3326416015625,4123.38916015625,529.326904296875,194.23959350585938,1682.88623046875,16524.0,2382.908203125,249.44436645507812,1323.2403564453125,541.337890625,4197.60986328125,4498.88525390625,,2603.881103515625,961.7269287109375,236.9917755126953,59.35676574707031,289.44305419921875,220.56539916992188,4110.44775390625,-568.8356323242188,807.9805297851562,1912.357666015625,700.0693359375,743.390380859375,,825.111572265625,193.04884338378906,1677.9805908203125,-222.88351440429688,2461.07861328125
2017-08-10,,785.2428588867188,347.7354431152344,-716.7515869140625,4113.5380859375,530.235595703125,191.4814453125,1671.470458984375,16363.5,2362.37353515625,241.55047607421875,1317.909912109375,539.1338500976562,4068.5732421875,4526.744140625,,2585.02587890625,951.3785400390625,237.1660614013672,58.38414764404297,286.30926513671875,218.75979614257812,4106.71875,-567.720947265625,811.2977294921875,1900.7430419921875,683.8772583007812,735.7959594726562,,830.4434204101562,190.5711212158203,1658.2286376953125,-223.4499053955078,2460.14990234375
2017-08-11,,782.9320068359375,343.7718200683594,-714.6840209960938,4074.04345703125,528.87255859375,186.38587951660156,1652.444091796875,16181.0,2362.851318359375,239.57769775390625,1310.35888671875,532.0805053710938,4017.166259765625,4479.67138671875,,2570.884765625,944.7884521484375,234.37789916992188,58.21303939819336,284.7423400878906,217.9995574951172,4102.056640625,-547.6575927734375,815.0888671875,1875.7044677734375,685.7821655273438,715.38623046875,,819.3353271484375,187.53802490234375,1646.0010986328125,-223.1667022705078,2461.07861328125
2017-08-14,,785.705078125,342.5150146484375,-718.1299438476562,4098.205078125,527.5093994140625,186.80661010742188,1661.9571533203125,16315.5,2387.683349609375,245.8922576904297,1315.244873046875,540.4562377929688,4036.31982421875,4549.80126953125,,2586.911376953125,956.0807495117188,236.29476928710938,58.411163330078125,281.6085205078125,220.56539916992188,4097.39599609375,-544.9329223632812,819.8278198242188,1875.7044677734375,696.2593994140625,730.2901000976562,,825.111572265625,189.7594757080078,1636.595458984375,-225.432373046875,2461.07861328125
2017-08-15,,781.083251953125,352.762451171875,-722.2650146484375,4141.41748046875,539.7771606445312,187.41432189941406,1661.0059814453125,16355.0,2422.06591796875,248.45797729492188,1327.68212890625,556.3260498046875,4024.21484375,4620.8916015625,,2571.82763671875,959.84765625,235.85911560058594,59.06857681274414,281.08624267578125,220.0902099609375,3981.79248046875,-520.2870483398438,838.7833251953125,1867.7974853515625,699.5930786132812,737.5047607421875,,815.78076171875,189.58856201171875,1630.011474609375,-228.83084106445312,2461.07861328125
